Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Bubba Watson,59.58,2017,63.02,29.28,55.67,71.175,397,71.0,305.6
Robert Garrigus,59.52,2017,69.52,29.46,54.94,70.712,448,78.0,300.7
Jordan Spieth,59.48,2017,69.97,28.34,61.75,68.846,"2,671",76.0,304.5
Scott Piercy,59.32,2017,66.84,29.38,50.0,71.235,532,70.0,295.1
Chad Collins,59.31,2017,60.93,28.47,63.07,71.77,305,66.0,281.4
Jason Kokrak,59.26,2017,66.97,29.99,54.9,70.961,490,95.0,305.7
J.T. Poston,59.24,2017,65.69,28.79,59.62,70.982,340,95.0,294.8
Gary Woodland,58.9,2017,69.35,29.76,58.21,70.482,"1,052",68.0,313.3
Jon Rahm,58.61,2017,68.79,28.81,63.74,69.561,"1,754",90.0,305.8
Justin Rose,58.48,2017,68.19,29.15,59.44,69.699,996,66.0,300.4
Brian Campbell,58.2,2017,63.29,28.63,56.68,71.92399999999999,132,55.0,296.0
Branden Grace,58.19,2017,66.2,29.36,61.28,70.862,510,70.0,290.6
Tag Ridings,58.18,2017,65.91,29.19,57.73,71.176,237,67.0,301.6
Cameron Tringale,58.15,2017,64.39,28.9,58.83,71.343,337,89.0,280.9
Bill Haas,58.05,2017,67.28,29.09,63.1,70.01100000000001,946,92.0,292.3
Bryson DeChambeau,58.04,2017,65.77,29.15,57.65,70.866,836,91.0,299.1
Wesley Bryan,57.89,2017,60.92,28.12,61.5,71.062,"1,046",95.0,279.6
Retief Goosen,57.79,2017,63.89,29.09,60.2,71.425,205,52.0,291.8
Charley Hoffman,57.72,2017,66.13,29.0,56.78,70.351,"1,498",72.0,305.3
